uf;porte_do_cliente;setor_bndes;produto;ano;;desembolsos_reais
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2014;sum;9998258.33
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2015;count;17.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2015;sum;2549312.3699999996
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2016;count;1.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2016;sum;131200.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2017;count;2.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2017;sum;366700.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2018;count;1.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2018;sum;330750.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2019;count;2.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2019;sum;169917.71
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2020;count;1.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2020;sum;45400.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;1995;count;2.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;1995;sum;63957.850000000006
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2002;count;1.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2002;sum;195104.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2004;count;6.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2004;sum;141000.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2005;count;9.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2005;sum;377000.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2006;count;1.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2006;sum;100000.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2008;count;1.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2008;sum;100000.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2012;count;20.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2012;sum;2282000.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2013;count;20.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2013;sum;3205000.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2014;count;10.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2014;sum;978600.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2015;count;19.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2015;sum;2405140.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2016;count;4.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2016;sum;568000.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2017;count;1.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2017;sum;51000.0
AC;MICRO;INDUSTRIA;BNDES AUTOMÁTICO;2018;count;1.0
